time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
57962,9,-5384,148,0,1,1,0,0,1,0,0
57972,22,-5382,144,0,1,1,0,0,1,0,0
57982,32,-5381,144,0,1,1,0,0,1,0,0
57992,22,-5374,141,0,1,1,0,0,1,0,0
58002,31,-5384,149,0,1,1,0,0,1,0,0
58012,11,-5388,138,0,1,1,0,0,1,0,0
58022,14,-5384,146,0,1,1,0,0,1,0,0
58032,30,-5389,139,0,1,1,0,0,1,0,0
58042,22,-5383,142,0,1,1,0,0,1,0,0
58052,20,-5380,134,0,1,1,0,0,1,0,0
58062,39,-5381,130,0,1,1,0,0,1,0,0
58072,16,-5388,141,0,1,1,0,0,1,0,0
58082,32,-5371,139,0,1,1,0,0,1,0,0
58092,43,-5371,141,0,1,1,0,0,1,0,0
58102,31,-5384,148,0,1,1,0,0,1,0,0
58112,33,-5383,141,0,1,1,0,0,1,0,0
58122,23,-5376,150,0,1,1,0,0,1,0,0
58132,29,-5380,145,0,1,1,0,0,1,0,0
58142,28,-5378,146,0,1,1,0,0,1,0,0
58152,17,-5380,148,0,1,1,0,0,1,0,0
58162,36,-5395,136,0,1,1,0,0,1,0,0
58172,15,-5380,138,0,1,1,0,0,1,0,0
58182,29,-5385,145,0,1,1,0,0,1,0,0
58192,28,-5378,150,0,1,1,0,0,1,0,0
58202,19,-5392,145,0,1,1,0,0,1,0,0
58212,34,-5377,145,0,1,1,0,0,1,0,0
58222,24,-5378,152,0,1,1,0,0,1,0,0
58232,21,-5388,149,0,1,1,0,0,1,0,0
58242,54,-5371,140,0,1,1,0,0,1,0,0
58252,38,-5374,151,0,1,1,0,0,1,0,0
58262,13,-5390,153,0,1,1,0,0,1,0,0
58272,34,-5382,142,0,1,1,0,0,1,0,0
58282,30,-5373,146,0,1,1,0,0,1,0,0
58292,24,-5375,140,0,1,1,0,0,1,0,0
58302,34,-5388,136,0,1,1,0,0,1,0,0
58312,34,-5377,136,0,1,1,0,0,1,0,0
58322,20,-5388,143,0,1,1,0,0,1,0,0
58332,23,-5382,133,0,1,1,0,0,1,0,0
58342,18,-5388,122,0,1,1,0,0,1,0,0
58352,9,-5385,142,0,1,1,1,0,1,0,0
58362,32,-5380,135,0,1,1,0,0,1,0,0
58372,22,-5391,149,0,1,1,0,0,1,0,0
58382,18,-5389,164,0,1,1,0,0,1,0,0
58392,23,-5385,151,0,1,1,0,0,1,0,0
58402,21,-5391,140,0,1,1,0,0,1,0,0
58412,31,-5389,138,0,1,1,0,0,1,0,0
58422,40,-5365,170,0,1,1,0,0,1,0,0
58432,8,-5372,146,0,1,1,0,0,1,0,0
58436,22,-5378,131,0,1,1,0,0,1,0,0
58446,45,-5387,142,0,1,1,0,0,1,0,0
58456,26,-5395,151,0,1,1,0,0,1,0,0
58466,24,-5377,139,0,1,1,0,0,1,0,0
58476,39,-5375,148,0,1,1,0,0,1,0,0
58487,22,-5379,155,0,1,1,0,0,1,0,0
58497,14,-5369,141,0,1,1,0,0,1,0,0
58508,43,-5374,157,0,1,1,0,0,1,0,0
58518,29,-5387,149,0,1,1,0,0,1,0,0
58533,29,-5386,131,0,1,1,0,0,1,0,0
58543,42,-5376,159,0,1,1,0,0,1,0,0
58544,19,-5383,137,0,1,1,0,0,1,0,0
58554,23,-5386,137,0,1,1,0,0,1,0,0
58564,24,-5388,144,0,1,1,0,0,1,0,0
58575,14,-5375,135,0,1,1,0,0,1,0,0
58585,27,-5386,138,0,1,1,0,0,1,0,0
58596,16,-5382,140,0,1,1,0,0,1,0,0
58606,18,-5383,149,0,1,1,0,0,1,0,0
58617,27,-5389,140,0,1,1,0,0,1,0,0
58627,18,-5400,142,0,1,1,0,0,1,0,0
58638,34,-5389,134,0,1,1,0,0,1,0,0
58648,27,-5387,148,0,1,1,0,0,1,0,0
58659,19,-5386,160,0,1,1,0,0,1,0,0
58669,38,-5379,150,0,1,1,0,0,1,0,0
58675,33,-5382,156,0,1,1,0,0,1,0,0
58685,23,-5384,147,0,1,1,0,0,1,0,0
58695,30,-5379,146,0,1,1,0,0,1,0,0
58706,35,-5379,149,0,1,1,0,0,1,0,0
58716,23,-5383,130,0,1,1,0,0,1,0,0
58728,32,-5386,147,0,1,1,0,0,1,0,0
58738,19,-5371,130,0,1,1,0,0,1,0,0
58749,39,-5379,133,0,1,1,0,0,1,0,0
58759,18,-5385,154,0,1,1,0,0,1,0,0
58770,15,-5382,135,0,1,1,0,0,1,0,0
58780,33,-5378,149,0,1,1,0,0,1,0,0
58781,16,-5373,147,0,1,1,0,0,1,0,0
58791,30,-5378,145,0,1,1,0,0,1,0,0
58801,25,-5377,153,0,1,1,0,0,1,0,0
58812,14,-5387,145,0,1,1,0,0,1,0,0
58822,39,-5372,149,0,1,1,0,0,1,0,0
58833,33,-5394,137,0,1,1,0,0,1,0,0
58843,18,-5377,153,0,1,1,0,0,1,0,0
58844,35,-5387,129,0,1,1,0,0,1,0,0
58854,15,-5376,149,0,1,1,0,0,1,0,0
58864,16,-5371,144,0,1,1,1,0,1,0,0
58887,34,-5380,134,0,1,1,0,0,1,0,0
58897,39,-5385,146,0,1,1,0,0,1,0,0
58907,24,-5376,154,0,1,1,0,0,1,0,0
58918,34,-5382,127,0,1,1,0,0,1,0,0
58928,23,-5380,148,0,1,1,0,0,1,0,0
58939,21,-5377,130,0,1,1,0,0,1,0,0
58949,39,-5382,157,0,1,1,0,0,1,0,0
58950,12,-5379,161,0,1,1,0,0,1,0,0
58960,24,-5387,140,0,1,1,0,0,1,0,0
58970,31,-5384,153,0,1,1,0,0,1,0,0
58980,18,-5387,146,0,1,1,0,0,1,0,0
58990,22,-5385,136,0,1,1,0,0,1,0,0
59000,34,-5385,156,0,1,1,0,0,1,0,0
59010,17,-5387,141,0,1,1,0,0,1,0,0
59020,29,-5384,123,0,1,1,0,0,1,0,0
59030,39,-5368,141,0,1,1,0,0,1,0,0
59040,14,-5386,156,0,1,1,0,0,1,0,0
59050,38,-5384,149,0,1,1,0,0,1,0,0
59060,35,-5378,142,0,1,1,0,0,1,0,0
59070,15,-5386,147,0,1,1,0,0,1,0,0
59080,37,-5388,140,0,1,1,0,0,1,0,0
59090,45,-5370,141,0,1,1,0,0,1,0,0
59100,22,-5372,150,0,1,1,0,0,1,0,0
59110,21,-5381,141,0,1,1,0,0,1,0,0
59120,33,-5377,166,0,1,1,0,0,1,0,0
59130,26,-5383,140,0,1,1,0,0,1,0,0
59141,25,-5379,136,0,1,1,0,0,1,0,0
59151,23,-5388,148,0,1,1,0,0,1,0,0
59161,25,-5393,140,0,1,1,0,0,1,0,0
59171,25,-5373,144,0,1,1,0,0,1,0,0
59181,23,-5387,140,0,1,1,0,0,1,0,0
59191,37,-5380,145,0,1,1,0,0,1,0,0
59201,31,-5374,143,0,1,1,0,0,1,0,0
59211,26,-5379,152,0,1,1,0,0,1,0,0
59222,38,-5392,141,0,1,1,0,0,1,0,0
59232,20,-5371,131,0,1,1,0,0,1,0,0
59242,10,-5379,135,0,1,1,0,0,1,0,0
59252,23,-5375,144,0,1,1,0,0,1,0,0
59262,24,-5392,151,0,1,1,0,0,1,0,0
59272,13,-5384,138,0,1,1,0,0,1,0,0
59282,34,-5378,143,0,1,1,0,0,1,0,0
59292,30,-5378,154,0,1,1,0,0,1,0,0
59302,34,-5380,141,0,1,1,0,0,1,0,0
59312,25,-5376,151,0,1,1,0,0,1,0,0
59322,17,-5384,157,0,1,1,0,0,1,0,0
59332,23,-5381,138,0,1,1,0,0,1,0,0
59342,13,-5385,155,0,1,1,0,0,1,0,0
59352,33,-5396,142,0,1,1,0,0,1,0,0
59362,28,-5378,150,0,1,1,0,0,1,0,0
59372,17,-5385,148,0,1,1,0,0,1,0,0
59377,28,-5381,129,0,1,1,0,0,1,0,0
59387,27,-5372,153,0,1,1,0,0,1,0,0
59397,33,-5389,143,0,1,1,1,0,1,0,0
59408,38,-5387,143,0,1,1,0,0,1,0,0
59418,18,-5371,133,0,1,1,0,0,1,0,0
59426,20,-5381,136,0,1,1,0,0,1,0,0
59436,26,-5380,147,0,1,1,0,0,1,0,0
59446,15,-5368,132,0,1,1,0,0,1,0,0
59456,33,-5391,133,0,1,1,0,0,1,0,0
59466,31,-5390,145,0,1,1,0,0,1,0,0
59477,33,-5386,148,0,1,1,0,0,1,0,0
59487,37,-5390,138,0,1,1,0,0,1,0,0
59498,31,-5388,143,0,1,1,0,0,1,0,0
59508,5,-5385,147,0,1,1,0,0,1,0,0
59516,9,-5372,132,0,1,1,0,0,1,0,0
59526,26,-5381,146,0,1,1,0,0,1,0,0
59536,10,-5384,160,0,1,1,0,0,1,0,0
59547,16,-5381,142,0,1,1,0,0,1,0,0
59557,26,-5375,160,0,1,1,0,0,1,0,0
59568,22,-5372,148,0,1,1,0,0,1,0,0
59578,22,-5382,123,0,1,1,0,0,1,0,0
59589,16,-5378,143,0,1,1,0,0,1,0,0
59599,18,-5382,138,0,1,1,0,0,1,0,0
59610,43,-5377,142,0,1,1,0,0,1,0,0
59620,19,-5385,140,0,1,1,0,0,1,0,0
59631,7,-5382,148,0,1,1,0,0,1,0,0
59641,34,-5382,153,0,1,1,0,0,1,0,0
59642,26,-5393,142,0,1,1,0,0,1,0,0
59652,5,-5386,143,0,1,1,0,0,1,0,0
59662,26,-5393,146,0,1,1,0,0,1,0,0
59673,15,-5383,143,0,1,1,0,0,1,0,0
59683,5,-5371,146,0,1,1,0,0,1,0,0
59694,29,-5380,148,0,1,1,0,0,1,0,0
59704,17,-5383,148,0,1,1,0,0,1,0,0
59714,12,-5384,156,0,1,1,0,0,1,0,0
59724,29,-5382,140,0,1,1,0,0,1,0,0
59734,20,-5390,151,0,1,1,0,0,1,0,0
59744,31,-5374,139,0,1,1,0,0,1,0,0
59754,26,-5375,148,0,1,1,0,0,1,0,0
59764,30,-5390,138,0,1,1,0,0,1,0,0
59774,37,-5398,139,0,1,1,0,0,1,0,0
59784,19,-5378,150,0,1,1,0,0,1,0,0
59794,22,-5385,147,0,1,1,0,0,1,0,0
59804,42,-5399,141,0,1,1,0,0,1,0,0
59814,36,-5386,154,0,1,1,0,0,1,0,0
59824,22,-5383,143,0,1,1,0,0,1,0,0
59834,38,-5382,136,0,1,1,0,0,1,0,0
59844,18,-5393,157,0,1,1,0,0,1,0,0
59854,16,-5385,132,0,1,1,0,0,1,0,0
59864,34,-5384,152,0,1,1,0,0,1,0,0
59874,18,-5387,143,0,1,1,0,0,1,0,0
59884,22,-5382,126,0,1,1,0,0,1,0,0
59894,28,-5376,151,0,1,1,0,0,1,0,0
59904,17,-5375,150,0,1,1,0,0,1,0,0
59914,22,-5366,132,0,1,1,0,0,1,0,0
59924,15,-5387,146,0,1,1,1,0,1,0,0
59925,14,-5389,147,0,1,1,0,0,1,0,0
59935,19,-5380,153,0,1,1,0,0,1,0,0
59945,6,-5373,143,0,1,1,0,0,1,0,0
59965,27,-5385,133,0,1,1,0,0,1,0,0
59975,17,-5383,139,0,1,1,0,0,1,0,0
59985,19,-5387,139,0,1,1,0,0,1,0,0
59995,32,-5388,142,0,1,1,0,0,1,0,0
60005,29,-5387,154,0,1,1,0,0,1,0,0
60015,27,-5384,151,0,1,1,0,0,1,0,0
60025,24,-5378,155,0,1,1,0,0,1,0,0
60035,15,-5388,151,0,1,1,0,0,1,0,0
60045,35,-5391,144,0,1,1,0,0,1,0,0
60055,46,-5383,167,0,1,1,0,0,1,0,0
60065,12,-5388,138,0,1,1,0,0,1,0,0
60075,21,-5378,135,0,1,1,0,0,1,0,0
60085,26,-5385,159,0,1,1,0,0,1,0,0
60095,2,-5384,142,0,1,1,0,0,1,0,0
60105,12,-5382,139,0,1,1,0,0,1,0,0
60115,22,-5386,153,0,1,1,0,0,1,0,0
60125,29,-5381,141,0,1,1,0,0,1,0,0
60135,39,-5372,145,0,1,1,0,0,1,0,0
60145,25,-5379,152,0,1,1,0,0,1,0,0
60155,7,-5384,150,0,1,1,0,0,1,0,0
60165,33,-5378,136,0,1,1,0,0,1,0,0
60175,24,-5368,162,0,1,1,0,0,1,0,0
60185,17,-5376,145,0,1,1,0,0,1,0,0
60195,35,-5370,137,0,1,1,0,0,1,0,0
60205,18,-5367,139,0,1,1,0,0,1,0,0
60215,27,-5385,134,0,1,1,0,0,1,0,0
60225,49,-5389,132,0,1,1,0,0,1,0,0
60235,29,-5388,151,0,1,1,0,0,1,0,0
60245,21,-5384,157,0,1,1,0,0,1,0,0
60255,36,-5378,146,0,1,1,0,0,1,0,0
60265,21,-5390,154,0,1,1,0,0,1,0,0
60275,19,-5374,148,0,1,1,0,0,1,0,0
60285,42,-5384,160,0,1,1,0,0,1,0,0
60295,36,-5386,168,0,1,1,0,0,1,0,0
60305,28,-5377,143,0,1,1,0,0,1,0,0
60315,27,-5377,139,0,1,1,0,0,1,0,0
60325,23,-5383,143,0,1,1,0,0,1,0,0
60335,17,-5378,132,0,1,1,0,0,1,0,0
60336,17,-5385,160,0,1,1,0,0,1,0,0
60346,21,-5393,149,0,1,1,0,0,1,0,0
60356,40,-5395,138,0,1,1,0,0,1,0,0
60366,19,-5386,149,0,1,1,0,0,1,0,0
60376,35,-5386,123,0,1,1,0,0,1,0,0
60386,19,-5374,132,0,1,1,0,0,1,0,0
60396,7,-5379,142,0,1,1,0,0,1,0,0
60406,28,-5389,141,0,1,1,0,0,1,0,0
60416,39,-5379,156,0,1,1,0,0,1,0,0
60426,20,-5374,158,0,1,1,0,0,1,0,0
60442,29,-5383,133,0,1,1,0,0,1,0,0
60452,37,-5361,150,0,1,1,0,0,1,0,0
60462,29,-5380,150,0,1,1,0,0,1,0,0
60472,33,-5378,153,0,1,1,1,0,1,0,0
60473,20,-5380,142,0,1,1,0,0,1,0,0
60483,30,-5393,147,0,1,1,0,0,1,0,0
60493,41,-5388,144,0,1,1,0,0,1,0,0
60504,11,-5387,148,0,1,1,0,0,1,0,0
60514,23,-5371,152,0,1,1,0,0,1,0,0
60529,16,-5370,165,0,1,1,0,0,1,0,0
60539,24,-5390,145,0,1,1,0,0,1,0,0
60550,24,-5379,140,0,1,1,0,0,1,0,0
60560,14,-5377,151,0,1,1,0,0,1,0,0
60571,26,-5377,145,0,1,1,0,0,1,0,0
60581,18,-5385,152,0,1,1,0,0,1,0,0
60582,14,-5378,157,0,1,1,0,0,1,0,0
60592,40,-5377,152,0,1,1,0,0,1,0,0
60602,20,-5370,142,0,1,1,0,0,1,0,0
60613,21,-5400,142,0,1,1,0,0,1,0,0
60623,40,-5385,146,0,1,1,0,0,1,0,0
60634,14,-5382,137,0,1,1,0,0,1,0,0
60644,44,-5382,155,0,1,1,0,0,1,0,0
60655,52,-5383,157,0,1,1,0,0,1,0,0
60665,24,-5388,155,0,1,1,0,0,1,0,0
60676,21,-5393,135,0,1,1,0,0,1,0,0
60686,29,-5386,147,0,1,1,0,0,1,0,0
60697,25,-5378,154,0,1,1,0,0,1,0,0
60707,29,-5376,131,0,1,1,0,0,1,0,0
60717,17,-5379,145,0,1,1,0,0,1,0,0
60727,6,-5379,134,0,1,1,0,0,1,0,0
60737,30,-5381,131,0,1,1,0,0,1,0,0
60748,23,-5398,118,0,1,1,0,0,1,0,0
60758,15,-5399,128,0,1,1,0,0,1,0,0
60768,40,-5362,132,0,1,1,0,0,1,0,0
60779,26,-5383,143,0,1,1,0,0,1,0,0
60789,27,-5385,158,0,1,1,0,0,1,0,0
60799,45,-5369,177,0,1,1,0,0,1,0,0
60809,32,-5363,178,0,1,1,0,0,1,0,0
60819,19,-5383,166,0,1,1,0,0,1,0,0
60829,46,-5398,141,0,1,1,0,0,1,0,0
60839,36,-5378,154,0,1,1,0,0,1,0,0
60849,47,-5359,131,0,1,1,0,0,1,0,0
60859,45,-5408,145,0,1,1,0,0,1,0,0
60860,12,-5375,136,0,1,1,0,0,1,0,0
60870,25,-5374,125,0,1,1,0,0,1,0,0
60880,33,-5388,161,0,1,1,0,0,1,0,0
60890,14,-5403,153,0,1,1,0,0,1,0,0
60900,18,-5377,149,0,1,1,0,0,1,0,0
60910,23,-5374,159,0,1,1,0,0,1,0,0
60920,3,-5384,136,0,1,1,0,0,1,0,0
60930,20,-5375,134,0,1,1,0,0,1,0,0
60945,18,-5373,141,0,1,1,0,0,1,0,0
60955,33,-5390,133,0,1,1,1,0,1,0,0
60966,39,-5397,137,0,1,1,0,0,1,0,0
60976,13,-5388,128,0,1,1,0,0,1,0,0
60977,12,-5384,139,0,1,1,0,0,1,0,0
60987,24,-5384,150,0,1,1,0,0,1,0,0
60997,17,-5372,160,0,1,1,0,0,1,0,0
61008,36,-5384,158,0,1,1,0,0,1,0,0
61018,43,-5391,141,0,1,1,0,0,1,0,0
61029,21,-5398,136,0,1,1,0,0,1,0,0
61039,34,-5364,156,0,1,1,0,0,1,0,0
61050,32,-5368,145,0,1,1,0,0,1,0,0
61060,28,-5389,153,0,1,1,0,0,1,0,0
61071,44,-5379,144,0,1,1,0,0,1,0,0
61081,11,-5379,153,0,1,1,0,0,1,0,0
61092,19,-5380,141,0,1,1,0,0,1,0,0
61102,37,-5379,132,0,1,1,0,0,1,0,0
61113,30,-5365,148,0,1,1,0,0,1,0,0
61123,40,-5365,144,0,1,1,0,0,1,0,0
61133,8,-5399,138,0,1,1,0,0,1,0,0
61143,21,-5379,146,0,1,1,0,0,1,0,0
61153,22,-5381,158,0,1,1,0,0,1,0,0
61163,15,-5386,140,0,1,1,0,0,1,0,0
61173,24,-5375,140,0,1,1,0,0,1,0,0
61183,17,-5362,130,0,1,1,0,0,1,0,0
61194,35,-5386,135,0,1,1,0,0,1,0,0
61204,23,-5400,151,0,1,1,0,0,1,0,0
61214,18,-5384,138,0,1,1,0,0,1,0,0
61224,31,-5385,127,0,1,1,0,0,1,0,0
61234,37,-5379,152,0,1,1,0,0,1,0,0
61244,22,-5379,157,0,1,1,0,0,1,0,0
61254,32,-5382,141,0,1,1,0,0,1,0,0
61264,30,-5386,154,0,1,1,0,0,1,0,0
61274,27,-5378,146,0,1,1,0,0,1,0,0
61284,38,-5382,150,0,1,1,0,0,1,0,0
61294,33,-5378,159,0,1,1,0,0,1,0,0
61304,31,-5383,144,0,1,1,0,0,1,0,0
61314,27,-5378,141,0,1,1,0,0,1,0,0
61324,20,-5380,144,0,1,1,0,0,1,0,0
61334,34,-5383,128,0,1,1,0,0,1,0,0
61344,24,-5384,133,0,1,1,0,0,1,0,0
61354,23,-5386,137,0,1,1,0,0,1,0,0
61355,15,-5375,141,0,1,1,0,0,1,0,0
61365,14,-5379,145,0,1,1,0,0,1,0,0
61375,14,-5380,161,0,1,1,0,0,1,0,0
61385,30,-5384,153,0,1,1,0,0,1,0,0
61395,33,-5377,162,0,1,1,0,0,1,0,0
61405,22,-5378,148,0,1,1,0,0,1,0,0
61415,34,-5386,138,0,1,1,0,0,1,0,0
61425,42,-5385,149,0,1,1,0,0,1,0,0
61432,24,-5379,145,0,1,1,0,0,1,0,0
61442,33,-5374,148,0,1,1,0,0,1,0,0
61452,28,-5375,155,0,1,1,0,0,1,0,0
61462,24,-5375,141,0,1,1,0,0,1,0,0
61472,27,-5405,140,0,1,1,1,0,1,0,0
61482,31,-5386,138,0,1,1,0,0,1,0,0
61492,24,-5386,169,0,1,1,0,0,1,0,0
61503,30,-5385,136,0,1,1,0,0,1,0,0
61513,17,-5390,138,0,1,1,0,0,1,0,0
61528,19,-5398,148,0,1,1,0,0,1,0,0
61538,15,-5369,145,0,1,1,0,0,1,0,0
61549,19,-5389,149,0,1,1,0,0,1,0,0
61559,20,-5397,147,0,1,1,0,0,1,0,0
61570,15,-5377,153,0,1,1,0,0,1,0,0
61580,21,-5373,150,0,1,1,0,0,1,0,0
61581,33,-5400,151,0,1,1,0,0,1,0,0
61591,20,-5386,141,0,1,1,0,0,1,0,0
61601,21,-5388,138,0,1,1,0,0,1,0,0
61612,28,-5386,142,0,1,1,0,0,1,0,0
61622,19,-5386,149,0,1,1,0,0,1,0,0
61632,43,-5388,150,0,1,1,0,0,1,0,0
61642,37,-5376,165,0,1,1,0,0,1,0,0
61652,16,-5388,144,0,1,1,0,0,1,0,0
61662,41,-5396,155,0,1,1,0,0,1,0,0
61672,24,-5368,145,0,1,1,0,0,1,0,0
61682,15,-5381,144,0,1,1,0,0,1,0,0
61692,38,-5390,150,0,1,1,0,0,1,0,0
61702,20,-5381,135,0,1,1,0,0,1,0,0
61712,25,-5386,137,0,1,1,0,0,1,0,0
61722,16,-5379,146,0,1,1,0,0,1,0,0
61732,15,-5395,139,0,1,1,0,0,1,0,0
61742,31,-5386,153,0,1,1,0,0,1,0,0
61752,7,-5377,135,0,1,1,0,0,1,0,0
61762,25,-5379,139,0,1,1,0,0,1,0,0
61773,21,-5397,144,0,1,1,0,0,1,0,0
61783,28,-5399,147,0,1,1,0,0,1,0,0
61793,30,-5394,156,0,1,1,0,0,1,0,0
61803,25,-5389,131,0,1,1,0,0,1,0,0
61813,19,-5376,143,0,1,1,0,0,1,0,0
61823,30,-5377,154,0,1,1,0,0,1,0,0
61833,26,-5387,152,0,1,1,0,0,1,0,0
61843,18,-5387,142,0,1,1,0,0,1,0,0
61853,33,-5375,137,0,1,1,0,0,1,0,0
61863,27,-5374,151,0,1,1,0,0,1,0,0
61873,21,-5390,135,0,1,1,0,0,1,0,0
61883,30,-5382,146,0,1,1,0,0,1,0,0
61893,15,-5378,144,0,1,1,0,0,1,0,0
61903,30,-5374,134,0,1,1,0,0,1,0,0
61913,23,-5380,155,0,1,1,0,0,1,0,0
61923,15,-5372,151,0,1,1,0,0,1,0,0
61930,37,-5379,151,0,1,1,0,0,1,0,0
61940,24,-5387,147,0,1,1,0,0,1,0,0
61950,17,-5390,133,0,1,1,0,0,1,0,0
61960,14,-5380,141,0,1,1,0,0,1,0,0
61970,13,-5377,145,0,1,1,0,0,1,0,0
61971,26,-5382,142,0,1,1,0,0,1,0,0
61981,34,-5388,157,0,1,1,0,0,1,0,0
61991,18,-5386,159,0,1,1,1,0,1,0,0
62011,27,-5386,149,0,1,1,0,0,1,0,0
62021,38,-5374,162,0,1,1,0,0,1,0,0
62031,28,-5384,141,0,1,1,0,0,1,0,0
62041,34,-5381,150,0,1,1,0,0,1,0,0
62051,39,-5382,153,0,1,1,0,0,1,0,0
62061,20,-5374,143,0,1,1,0,0,1,0,0
62071,30,-5380,134,0,1,1,0,0,1,0,0
62081,51,-5390,136,0,1,1,0,0,1,0,0
62091,24,-5387,143,0,1,1,0,0,1,0,0
62102,22,-5388,138,0,1,1,0,0,1,0,0
62112,32,-5382,152,0,1,1,0,0,1,0,0
62122,17,-5382,152,0,1,1,0,0,1,0,0
62132,32,-5379,136,0,1,1,0,0,1,0,0
62142,10,-5385,155,0,1,1,0,0,1,0,0
62152,11,-5392,138,0,1,1,0,0,1,0,0
62162,29,-5392,146,0,1,1,0,0,1,0,0
62172,11,-5390,141,0,1,1,0,0,1,0,0
62182,27,-5383,146,0,1,1,0,0,1,0,0
62192,27,-5370,150,0,1,1,0,0,1,0,0
62202,13,-5377,135,0,1,1,0,0,1,0,0
62212,25,-5382,141,0,1,1,0,0,1,0,0
62222,24,-5384,155,0,1,1,0,0,1,0,0
62232,11,-5388,137,0,1,1,0,0,1,0,0
62242,24,-5375,150,0,1,1,0,0,1,0,0
62252,21,-5379,156,0,1,1,0,0,1,0,0
62262,19,-5384,141,0,1,1,0,0,1,0,0
62272,28,-5380,151,0,1,1,0,0,1,0,0
62282,14,-5378,139,0,1,1,0,0,1,0,0
62292,36,-5381,141,0,1,1,0,0,1,0,0
62302,39,-5384,154,0,1,1,0,0,1,0,0
62312,16,-5384,158,0,1,1,0,0,1,0,0
62322,35,-5366,143,0,1,1,0,0,1,0,0
62332,21,-5376,143,0,1,1,0,0,1,0,0
62342,26,-5382,135,0,1,1,0,0,1,0,0
62352,22,-5375,147,0,1,1,0,0,1,0,0
62362,20,-5388,138,0,1,1,0,0,1,0,0
62372,33,-5385,153,0,1,1,0,0,1,0,0
62382,5,-5364,153,0,1,1,0,0,1,0,0
62392,11,-5380,148,0,1,1,0,0,1,0,0
62402,16,-5391,152,0,1,1,0,0,1,0,0
62412,21,-5378,142,0,1,1,0,0,1,0,0
62422,37,-5385,141,0,1,1,0,0,1,0,0
62432,28,-5388,150,0,1,1,0,0,1,0,0
62434,17,-5397,144,0,1,1,0,0,1,0,0
62444,33,-5375,138,0,1,1,0,0,1,0,0
62454,20,-5372,147,0,1,1,0,0,1,0,0
62464,25,-5374,140,0,1,1,0,0,1,0,0
62474,36,-5389,133,0,1,1,0,0,1,0,0
