time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
57421,18,-5391,145,0,1,1,0,0,1,0,0
57431,27,-5380,136,0,1,1,0,0,1,0,0
57441,24,-5395,148,0,1,1,0,0,1,0,0
57451,31,-5403,151,0,1,1,0,0,1,0,0
57461,17,-5380,139,0,1,1,0,0,1,0,0
57471,22,-5379,150,0,1,1,0,0,1,0,0
57481,42,-5386,149,0,1,1,0,0,1,0,0
57491,38,-5372,151,0,1,1,0,0,1,0,0
57501,32,-5379,143,0,1,1,0,0,1,0,0
57511,27,-5391,147,0,1,1,0,0,1,0,0
57521,33,-5376,148,0,1,1,0,0,1,0,0
57531,30,-5380,146,0,1,1,0,0,1,0,0
57541,17,-5390,139,0,1,1,0,0,1,0,0
57551,29,-5387,152,0,1,1,0,0,1,0,0
57561,26,-5381,137,0,1,1,0,0,1,0,0
57571,27,-5382,136,0,1,1,0,0,1,0,0
57581,28,-5382,148,0,1,1,0,0,1,0,0
57591,38,-5398,152,0,1,1,0,0,1,0,0
57601,18,-5401,150,0,1,1,0,0,1,0,0
57611,11,-5376,141,0,1,1,0,0,1,0,0
57621,27,-5392,152,0,1,1,0,0,1,0,0
57631,5,-5397,149,0,1,1,0,0,1,0,0
57641,25,-5373,127,0,1,1,0,0,1,0,0
57651,24,-5381,147,0,1,1,0,0,1,0,0
57661,13,-5378,142,0,1,1,0,0,1,0,0
57672,30,-5380,132,0,1,1,0,0,1,0,0
57682,32,-5371,141,0,1,1,0,0,1,0,0
57683,25,-5386,142,0,1,1,0,0,1,0,0
57693,45,-5395,133,0,1,1,0,0,1,0,0
57703,23,-5388,135,0,1,1,0,0,1,0,0
57714,19,-5388,139,0,1,1,0,0,1,0,0
57724,38,-5383,147,0,1,1,0,0,1,0,0
57734,5,-5393,145,0,1,1,0,0,1,0,0
57744,15,-5383,148,0,1,1,0,0,1,0,0
57754,21,-5379,149,0,1,1,0,0,1,0,0
57764,14,-5382,146,0,1,1,0,0,1,0,0
57774,27,-5382,145,0,1,1,0,0,1,0,0
57784,20,-5378,150,0,1,1,0,0,1,0,0
57794,24,-5374,142,0,1,1,0,0,1,0,0
57804,31,-5387,134,0,1,1,0,0,1,0,0
57818,32,-5379,153,0,1,1,0,0,1,0,0
57828,26,-5384,149,0,1,1,1,0,1,0,0
57839,35,-5382,134,0,1,1,0,0,1,0,0
57849,29,-5382,142,0,1,1,0,0,1,0,0
57860,7,-5388,150,0,1,1,0,0,1,0,0
57870,47,-5387,147,0,1,1,0,0,1,0,0
57881,36,-5375,156,0,1,1,0,0,1,0,0
57891,24,-5382,149,0,1,1,0,0,1,0,0
57901,43,-5377,138,0,1,1,0,0,1,0,0
57911,31,-5379,145,0,1,1,0,0,1,0,0
57921,16,-5397,154,0,1,1,0,0,1,0,0
57931,38,-5386,140,0,1,1,0,0,1,0,0
57941,24,-5392,143,0,1,1,0,0,1,0,0
57951,21,-5390,142,0,1,1,0,0,1,0,0
57961,29,-5385,149,0,1,1,0,0,1,0,0
