time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
42908,18,-5369,148,0,1,1,0,0,0,0,0
42918,9,-5362,152,0,1,1,0,0,0,0,0
42929,11,-5384,144,0,1,1,0,0,0,0,0
42939,28,-5379,141,0,1,1,0,0,0,0,0
42950,17,-5374,146,0,1,1,0,0,0,0,0
42960,19,-5396,149,0,1,1,0,0,0,0,0
42961,21,-5384,149,0,1,1,0,0,0,0,0
42971,17,-5374,147,0,1,1,0,0,0,0,0
42981,18,-5383,131,0,1,1,0,0,0,0,0
42992,27,-5385,132,0,1,1,0,0,0,0,0
43002,21,-5382,147,0,1,1,0,0,0,0,0
43013,27,-5381,141,0,1,1,0,0,0,0,0
43023,35,-5388,143,0,1,1,0,0,0,0,0
43034,24,-5380,140,0,1,1,0,0,0,0,0
43044,20,-5392,145,0,1,1,0,0,0,0,0
43055,11,-5395,138,0,1,1,0,0,0,0,0
43065,-3,-5389,148,0,1,1,0,0,0,0,0
43076,22,-5376,155,0,1,1,0,0,0,0,0
43086,28,-5388,138,0,1,1,0,0,0,0,0
43096,20,-5383,135,0,1,1,0,0,0,0,0
43106,29,-5378,137,0,1,1,0,0,0,0,0
43116,5,-5372,142,0,1,1,0,0,0,0,0
43126,12,-5390,147,0,1,1,0,0,0,0,0
43136,22,-5383,142,0,1,1,0,0,0,0,0
43146,12,-5379,139,0,1,1,0,0,0,0,0
43157,13,-5384,141,0,1,1,0,0,0,0,0
43167,21,-5384,150,0,1,1,0,0,0,0,0
43177,24,-5375,143,0,1,1,0,0,0,0,0
43187,12,-5389,136,0,1,1,0,0,0,0,0
43197,24,-5386,147,0,1,1,0,0,0,0,0
43207,22,-5371,145,0,1,1,0,0,0,0,0
43210,33,-5368,148,0,1,1,0,0,0,0,0
43220,22,-5387,149,0,1,1,0,0,0,0,0
43230,3,-5387,140,0,1,1,1,0,0,0,0
43241,13,-5384,140,0,1,1,0,0,0,0,0
43251,16,-5386,132,0,1,1,0,0,0,0,0
43261,18,-5379,136,0,1,1,0,0,0,0,0
43271,12,-5373,137,0,1,1,0,0,0,0,0
43281,27,-5373,147,0,1,1,0,0,0,0,0
43291,17,-5378,131,0,1,1,0,0,0,0,0
43301,26,-5373,131,0,1,1,0,0,0,0,0
43311,20,-5388,136,0,1,1,0,0,0,0,0
43322,25,-5389,130,0,1,1,0,0,0,0,0
43332,23,-5386,136,0,1,1,0,0,0,0,0
43342,15,-5381,146,0,1,1,0,0,0,0,0
43352,17,-5374,155,0,1,1,0,0,0,0,0
43362,32,-5391,146,0,1,1,0,0,0,0,0
43372,29,-5391,136,0,1,1,0,0,0,0,0
43382,30,-5381,140,0,1,1,0,0,0,0,0
43392,31,-5382,135,0,1,1,0,0,0,0,0
43402,26,-5381,139,0,1,1,0,0,0,0,0
43412,33,-5383,135,0,1,1,0,0,0,0,0
43422,26,-5384,143,0,1,1,0,0,0,0,0
43432,17,-5383,148,0,1,1,0,0,0,0,0
43442,11,-5367,142,0,1,1,0,0,0,0,0
43452,21,-5376,143,0,1,1,0,0,0,0,0
43462,17,-5383,138,0,1,1,0,0,0,0,0
43472,11,-5376,135,0,1,1,0,0,0,0,0
43483,24,-5374,144,0,1,1,0,0,0,0,0
43493,36,-5378,148,0,1,1,0,0,0,0,0
43503,23,-5378,151,0,1,1,0,0,0,0,0
43513,31,-5382,143,0,1,1,0,0,0,0,0
43523,33,-5384,138,0,1,1,0,0,0,0,0
43533,35,-5378,152,0,1,1,0,0,0,0,0
43543,14,-5380,148,0,1,1,0,0,0,0,0
43553,14,-5382,140,0,1,1,0,0,0,0,0
43563,8,-5377,140,0,1,1,0,0,0,0,0
43573,11,-5378,151,0,1,1,0,0,0,0,0
